first_name,last_name,title,format,link,save
 Thijs,De Mulder,De rol van mucine-afbrekende Akkermansia muciniphila als drijver van metabole netwerken in de in vitro darmmicrobiota,", 2013, Thesis Bio-engineering",/sites/default/files/userfiles/u1501/Thesis_Thijs%20De%20Mulder_2012-2013.pdf,Thesis_Thijs%20De%20Mulder_2012-2013.pdf
 Willem,De Muynck,Microbial interactions with mineral building materials,", 2009, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Willem.pdf,Phd_Willem.pdf
 Kim,De Paepe,Probiotica als een alternatief voor binnenshuis reiniging,", 2013, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/kim_de_paepe_thesis_probiotische_reiniging.pdf,kim_de_paepe_thesis_probiotische_reiniging.pdf
 Renzo,De Roose,Gentegreerde conversie van zonlicht tot groene energie met behulp van microalgen,", 2009, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Renzoderoose.pdf,Phd_Renzoderoose.pdf
 Karen,De Roy,Microbieel geproduceerd stikstofmonoxide in aquatische ecosystemen,", 2009, thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_deroykaren.pdf,Phd_deroykaren.pdf
 Chiara,Destino,Het gebruik van augmentatie voor de afbraak van pesticiden in een on-farm bioremediatiesysteem,", 2012, thesis M. ind. wetensch. biochemie",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/chiara_destino_masterproef_juni2012.pdf,chiara_destino_masterproef_juni2012.pdf
 Liesje,De Schamphelaire,Verwijdering van ammoniakale stikstof in microbile brandstofcellen,", 2005, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Verwijdering_van_ammoniakale_stikstof_in_microbi%C3%ABle_brandstofcellen.pdf,Verwijdering_van_ammoniakale_stikstof_in_microbi%C3%ABle_brandstofcellen.pdf
 Liesje,De Schamphelaire,Microbial strategies for the conversion of photosynthetically derived compounds,", 2010, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_liesje.pdf,Phd_liesje.pdf
 Delphine,Derde,De invloed van organische groeimedia en organische meststoffen op de groei van de tomatenplant,", 2014, Thesis Bio-engineering",/sites/default/files/userfiles/u1501/Masterproef_Delphine_Derde.pdf,Masterproef_Delphine_Derde.pdf
 Melanie,Derde,Impact van pre- en probiotica op de kolonisatie van adherente invasieve Escherichia coli in een vernieuwend in vitro model,"; 2011, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/MelanieDerde-IMLEMI331-120725-1307432682-Masterproef_MelanieDerde_Impact_van_pre-_en_probiotica_op_de_kolonisatie_van_adherente_invasieve_Escherichia_.pdf,MelanieDerde-IMLEMI331-120725-1307432682-Masterproef_MelanieDerde_Impact_van_pre-_en_probiotica_op_de_kolonisatie_van_adherente_invasieve_Escherichia_.pdf
 Rubin,Desendere,Co-metabolische afbraak van micropolluenten met ammonium oxiderende bacterin in zandfilters,", 2014, Thesis Bio-engineering",/sites/default/files/userfiles/u1501/Masterproef%20RUBEN%20DESENDERE.pdf,Masterproef%20RUBEN%20DESENDERE.pdf
 Joachim,Desloover,Verwijdering van poluenten met bio-electrische systemen,", 2009, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_joachimds.pdf,Thesis_joachimds.pdf
 Evelyn,Desmidt,Ureolytic phosphate precipitation and autotrophic nitrogen removal from anaerobic effluents,", 2013, PhD Thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/doctoraatsthesis_desmidt_evelyn2.pdf,doctoraatsthesis_desmidt_evelyn2.pdf
 Delfien,De Smet,Co-metabolische afbraak van micropolluenten met methaanoxiderende of ammoniumoxiderende culturen,; 2012; Thesis Bio-engineer,http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/de_smet_delfien.pdf,de_smet_delfien.pdf
 Sofie,De Vriendt,Invasie van zandfilters door allochtone micro-organismen,"; 2013, Thesis Bio-engineer",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_sofiedevriendt.pdf,thesis_sofiedevriendt.pdf
 Rosemarie,De Weirdt,Anaeroob metabolisme van glycerol door de colonmicrobiota,", 2008, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Master_thesis_Rosemarie_DE_WEIRDT.pdf,Master_thesis_Rosemarie_DE_WEIRDT.pdf
 Rosemarie,De Weirdt,Dietary fat and the human gut microbiome,", 2013, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u45/ph.d_de_weirdt_rosemarie.pdf,ph.d_de_weirdt_rosemarie.pdf
 Cilia,De Wilde,Bioaugmentatie van grondwater verontreinigd met VOCl's,", 2009 , Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Thesis_ciliadw.pdf,Thesis_ciliadw.pdf
 Fabian,De Wilde,OLAND als energie-efficinte technologie voor stikstofverwijdering uit afvalwater,", 2012, Thesis Bio-Engineering",http://www.labmet.ugent.be/drupal/sites/default/files/images/theses/De%20Wilde%20Fabian.pdf,De%20Wilde%20Fabian.pdf
 Katrien,Drieskens,Overleving en toxineproductie van Bacillus cereus in het bovenste gastro-intestinaal stelsel,", 2011, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/KatrienDrieskens-IMLEMI331-120411-1307363319-Katrien_Drieskens_-_Overleving_en_toxineproductie_van_B._cereus_in_het_gastro-intestinaal_stelsel.pdf,KatrienDrieskens-IMLEMI331-120411-1307363319-Katrien_Drieskens_-_Overleving_en_toxineproductie_van_B._cereus_in_het_gastro-intestinaal_stelsel.pdf
 Thu Hang,Duong,Pre-treatments to enhance the biomethanation of kitchen waste,", 2009, thesis ManaMa Environmental sanitation",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Duongthesis.pdf,Duongthesis.pdf
 Cindy,Duysburgh,Metabolisme van fytosterolen door de humane darmmicrobiota,", 2012, Thesis Bio-engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/duysburgh_cindy.pdf,duysburgh_cindy.pdf
 Wim,De Windt,Environmental applications on precipitation of nanoparticles by,Shewanella oneidensis,http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/DOCTORAAT_WDW_-_revised.pdf,DOCTORAAT_WDW_-_revised.pdf
 Peter,De Schryver,POLY--HYDROXYBUTYRATE AS A MICROBIAL AGENT IN AQUACULTURE,", 2010 , PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/PhD_manuscript_Peter_De_Schryver.pdf,PhD_manuscript_Peter_De_Schryver.pdf
 Charles,Dumolin,The role of conjugated oligoelectrolytes on the performance of anaerobic microbial strains in microbial electrosynthesis,; 2014; thesis ManaMa Environmental Sanitation,/sites/default/files/userfiles/u1501/20140822%20Final%20Thesis%20Charles%20Dumolin_0.pdf,20140822%20Final%20Thesis%20Charles%20Dumolin_0.pdf
 Daphne,Fecheyr-Lippens,Mechanistische studie van de bacterile productie van herwinbare nanopartikels,", 2012, M. Biochemie & Biotechnologie",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis-daphnefecheyrlippens.pdf,thesis-daphnefecheyrlippens.pdf
