,code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number
803,279010.12,Bacillus licheniformis ATCC 14580,Bacillus,licheniformis,Bacillus licheniformis,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
804,344609.11,Shigella boydii CDC 3083-94,Shigella,boydii,Shigella boydii,gut;soil;river;reservoir;marsh,5
805,189423.5,Streptococcus pneumoniae 670-6B,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
806,272129.4,Oscillatoria sp. PCC 6506 (Oscillatoria sp. PCC 9029),Oscillatoria,sp.,Oscillatoria sp.,air;ocean;borehole;spring;field;mud,6
807,585891.3,Staphylococcus aureus subsp. aureus Mu50-omega,Staphylococcus,aureus,Staphylococcus aureus,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35
808,441769.6,Bacillus coahuilensis m4-4,Bacillus,coahuilensis,Bacillus coahuilensis,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
809,550672.3,Escherichia coli B088,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
810,526980.3,Bacillus cereus ATCC 10876,Bacillus,cereus,Bacillus cereus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
811,161544.4,Bacillus sp. SG-1,Bacillus,sp.,Bacillus sp.,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
812,593585.3,Vibrio cholerae bv. albensis VL426,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18
813,634456.3,Acetobacter pasteurianus IFO 3283-26,Acetobacter,pasteurianus,Acetobacter pasteurianus,fruit;vinegar;wine;soil;reservoir;lake;must;rhizosphere;bog;plateau;air;sludge;pond;milk,14
814,279010.5,Bacillus licheniformis ATCC 14580,Bacillus,licheniformis,Bacillus licheniformis,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
815,264730.9,Pseudomonas syringae pv. phaseolicola 1448A,Pseudomonas,syringae,Pseudomonas syringae,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
816,264730.3,Pseudomonas syringae pv. phaseolicola 1448A,Pseudomonas,syringae,Pseudomonas syringae,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
817,399742.1,Enterobacter sp. 638,Enterobacter,sp.,Enterobacter sp.,soil;textile;mine;blood;rhizosphere;milk;fruit;gut;sea;food;lake;field;river;sludge;wetland;cave;egg;mouth;bacon;surface;sediment;forest;volcano;water;waste,25
818,176299.1,Agrobacterium tumefaciens str. C58,Agrobacterium,tumefaciens,Agrobacterium tumefaciens,soil;rhizosphere;air;field;water;sandstone;forest;sewage;waste;wetland,10
819,93058.3,Prochlorococcus marinus str. MIT 9202,Prochlorococcus,marinus,Prochlorococcus marinus,sea,1
820,557436.4,Lactobacillus reuteri DSM 20016,Lactobacillus,reuteri,Lactobacillus reuteri,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25
821,349102.4,Rhodobacter sphaeroides ATCC 17025,Rhodobacter,sphaeroides,Rhodobacter sphaeroides,field;mud;soil;marsh;spring;water;sea;pond;river;estuary;sewage;sludge;sediment;straw;ocean;seamount;blood;silage;biofilm;lake,20
822,380394.3,Acidithiobacillus ferrooxidans ATCC 53993,Acidithiobacillus,ferrooxidans,Acidithiobacillus ferrooxidans,mine;waste;spring;ocean,4
823,451756.6,Clostridium perfringens CPE str. F4969,Clostridium,perfringens,Clostridium perfringens,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30
824,584.1,Proteus mirabilis HI4320,Proteus,mirabilis,Proteus mirabilis,soil;sea,2
825,420246.5,Geobacillus thermodenitrificans NG80-2,Geobacillus,thermodenitrificans,Geobacillus thermodenitrificans,soil;spring;milk;field;ocean;hotspring;oil;compost;sea;sediment;sugar;lake,12
826,420246.7,Geobacillus thermodenitrificans NG80-2,Geobacillus,thermodenitrificans,Geobacillus thermodenitrificans,soil;spring;milk;field;ocean;hotspring;oil;compost;sea;sediment;sugar;lake,12
827,593590.3,Vibrio cholerae TMA 21,Vibrio,cholerae,Vibrio cholerae,sea;blood;river;water;soil;shellfish;sediment;rhizosphere;gut;rock;ocean;mucus;egg;clam;fish;estuary;biofilm;oyster,18
828,300268.11,Shigella boydii Sb227,Shigella,boydii,Shigella boydii,gut;soil;river;reservoir;marsh,5
829,300268.1,Shigella boydii Sb227,Shigella,boydii,Shigella boydii,gut;soil;river;reservoir;marsh,5
830,683837.3,Listeria seeligeri serovar 1/2b str. SLCC3954,Listeria,seeligeri,Listeria seeligeri,milk;sludge;water;soil;run,5
831,557601.3,Acinetobacter baumannii AB900,Acinetobacter,baumannii,Acinetobacter baumannii,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28
