"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","evenness","celaantal","gini_thas","gini_wittebolle","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10"
"18",1363.63636363636,1363.63636363636,1363.63636363636,1363636.36363636,1363.63636363636,1363.63636363636,1363.63636363636,1363.63636363636,2727.27272727273,13636.3636363636,0.0537070005016884,1389545.45454545,0.808189847444018,0.88900883218842,136.363636363636,136.363636363636,136.363636363636,136.363636363636,136.363636363636,136.363636363636,136.363636363636,136.363636363636,272.727272727273,136.363636363636,10000,10000,10000,1e+07,10000,10000,10000,10000,10000,1e+05
"19",1153.84615384615,2307.69230769231,1153.84615384615,1153846.15384615,2307.69230769231,1153.84615384615,1153.84615384615,11538.4615384615,1153.84615384615,2307.69230769231,0.0591666040124892,1178076.92307692,0.806962870625946,0.887659157688541,115.384615384615,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,230.769230769231,10000,10000,10000,1e+07,10000,10000,10000,1e+05,10000,10000
"20",1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,2307.69230769231,11538.4615384615,1153846.15384615,1153.84615384615,0.0591666040124892,1178076.92307692,0.806962870625946,0.887659157688541,115.384615384615,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,10000,10000,10000,10000,10000,10000,10000,1e+05,1e+07,10000
"21",1153846.15384615,1153.84615384615,2307.69230769231,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,11538.4615384615,0.0591666040124892,1178076.92307692,0.806962870625946,0.887659157688541,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,115.384615384615,1e+07,10000,10000,10000,10000,10000,10000,10000,10000,1e+05
"22",2307.69230769231,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,2307.69230769231,1153.84615384615,1153846.15384615,11538.4615384615,1153.84615384615,0.0591666040124892,1178076.92307692,0.806962870625946,0.887659157688541,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,10000,10000,10000,10000,10000,10000,10000,1e+07,1e+05,10000
"23",1071.42857142857,2142.85714285714,2142.85714285714,2142.85714285714,10714.2857142857,1071.42857142857,2142.85714285714,1071.42857142857,1071.42857142857,1071428.57142857,0.0618890171633595,1095000,0.806084326632272,0.886692759295499,107.142857142857,214.285714285714,214.285714285714,214.285714285714,107.142857142857,107.142857142857,214.285714285714,107.142857142857,107.142857142857,107.142857142857,10000,10000,10000,10000,1e+05,10000,10000,10000,10000,1e+07
"24",1071.42857142857,2142.85714285714,10714.2857142857,1071428.57142857,2142.85714285714,1071.42857142857,2142.85714285714,1071.42857142857,2142.85714285714,1071.42857142857,0.0618890171633595,1095000,0.806084326632272,0.886692759295499,107.142857142857,214.285714285714,107.142857142857,107.142857142857,214.285714285714,107.142857142857,214.285714285714,107.142857142857,214.285714285714,107.142857142857,10000,10000,1e+05,1e+07,10000,10000,10000,10000,10000,10000
"25",1153.84615384615,1153.84615384615,2307.69230769231,2307.69230769231,230769.230769231,1153.84615384615,1153.84615384615,1153.84615384615,1153.84615384615,1153.84615384615,0.137504639584649,243461.538461538,0.776820336062042,0.854502369668247,115.384615384615,115.384615384615,230.769230769231,230.769230769231,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,115.384615384615,10000,10000,10000,10000,1e+06,10000,10000,10000,10000,10000
"26",1875,937.5,937.5,937.5,1875,1875,937.5,1875,187500,1875,0.165851628071452,200625,0.767204757858963,0.84392523364486,187.5,93.75,93.75,93.75,187.5,187.5,93.75,187.5,187.5,187.5,10000,10000,10000,10000,10000,10000,10000,10000,1e+06,10000
"27",176470.588235294,1764.70588235294,1764.70588235294,1764.70588235294,1764.70588235294,1764.70588235294,882.352941176471,882.352941176471,1764.70588235294,882.352941176471,0.175143766516703,189705.882352941,0.762367864693446,0.838604651162791,176.470588235294,176.470588235294,176.470588235294,176.470588235294,176.470588235294,176.470588235294,88.2352941176471,88.2352941176471,176.470588235294,88.2352941176471,1e+06,10000,10000,10000,10000,10000,10000,10000,10000,10000
"28",1764.70588235294,1764.70588235294,882.352941176471,1764.70588235294,1764.70588235294,176470.588235294,882.352941176471,1764.70588235294,1764.70588235294,882.352941176471,0.175143766516703,189705.882352941,0.762367864693446,0.838604651162791,176.470588235294,176.470588235294,88.2352941176471,176.470588235294,176.470588235294,176.470588235294,88.2352941176471,176.470588235294,176.470588235294,88.2352941176471,10000,10000,10000,10000,10000,1e+06,10000,10000,10000,10000
"29",1250,1250,12500,1250,1250,1250,2500,1250,250000,1250,0.190635625688866,273750,0.771689497716895,0.848858447488585,125,125,125,125,125,125,250,125,250,125,10000,10000,1e+05,10000,10000,10000,10000,10000,1e+06,10000
"30",1250,12500,1250,250000,1250,2500,1250,1250,1250,1250,0.190635625688866,273750,0.771689497716895,0.848858447488585,125,125,125,250,125,250,125,125,125,125,10000,1e+05,10000,1e+06,10000,10000,10000,10000,10000,10000
"31",1153.84615384615,230769.230769231,1153.84615384615,11538.4615384615,2307.69230769231,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,1153.84615384615,0.199649412115605,253846.153846154,0.769421487603306,0.846363636363636,115.384615384615,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,10000,1e+06,10000,1e+05,10000,10000,10000,10000,10000,10000
"32",1153.84615384615,1153.84615384615,11538.4615384615,2307.69230769231,1153.84615384615,230769.230769231,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,0.199649412115605,253846.153846154,0.769421487603306,0.846363636363636,115.384615384615,115.384615384615,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,230.769230769231,115.384615384615,115.384615384615,10000,10000,1e+05,10000,10000,1e+06,10000,10000,10000,10000
"33",11538.4615384615,230769.230769231,2307.69230769231,1153.84615384615,1153.84615384615,2307.69230769231,1153.84615384615,1153.84615384615,1153.84615384615,1153.84615384615,0.199649412115605,253846.153846154,0.769421487603306,0.846363636363636,115.384615384615,230.769230769231,230.769230769231,115.384615384615,115.384615384615,230.769230769231,115.384615384615,115.384615384615,115.384615384615,115.384615384615,1e+05,1e+06,10000,10000,10000,10000,10000,10000,10000,10000
