id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,cellcount,gini_thas,gini_wittebolle,LMG7866,LMG3203,LMG7878,LMG2954,replica
65,214285.7143,107142.8571,107142.8571,214285.7143,107142.8571,107142.8571,1071428.571,214285.7143,214285.7143,107142.8571,0.822239142,2464285.714,0.383399209,0.42173913,3,1,3,7,1
66,157894.7368,157894.7368,157894.7368,157894.7368,15789.47368,789473.6842,157894.7368,157894.7368,15789.47368,157894.7368,0.816290157,1926315.789,0.375558867,0.413114754,0,4,5,18,1
67,187500,93750,93750,187500,187500,937.5,187500,937500,187500,187500,0.814279709,2250937.5,0.385861951,0.424448147,0,1,1,8,1
68,93750,937500,187500,187500,187500,93750,187500,187500,937.5,187500,0.814279709,2250937.5,0.385861951,0.424448147,0,5,4,7,1
69,187500,937500,187500,93750,937.5,187500,187500,93750,187500,187500,0.814279709,2250937.5,0.385861951,0.424448147,1,9,3,15,1
70,18750,93750,187500,187500,187500,187500,187500,93750,937500,93750,0.810724797,2175000,0.404388715,0.444827586,2,6,8,11,1
71,187500,187500,187500,187500,937500,187500,18750,93750,93750,93750,0.810724797,2175000,0.404388715,0.444827586,2,3,0,7,1
72,187500,93750,187500,18750,187500,937500,187500,93750,187500,93750,0.810724797,2175000,0.404388715,0.444827586,0,2,6,5,1
73,937500,187500,93750,187500,93750,93750,18750,187500,187500,187500,0.810724797,2175000,0.404388715,0.444827586,0,1,0,7,1
74,93750,93750,187500,187500,187500,187500,187500,93750,937500,18750,0.810724797,2175000,0.404388715,0.444827586,3,5,1,24,1
75,18750,187500,187500,93750,187500,187500,93750,93750,187500,937500,0.810724797,2175000,0.404388715,0.444827586,9,4,2,8,1
76,166666.6667,833333.3333,166666.6667,166666.6667,16666.66667,166666.6667,166666.6667,166666.6667,8333.333333,166666.6667,0.810518786,2025000,0.38047138,0.418518519,2,12,23,17,1
77,157894.7368,157894.7368,157894.7368,78947.36842,157894.7368,157894.7368,157894.7368,157894.7368,157894.7368,157894.7368,0.993567289,1500000,0.043062201,0.047368421,1,5,7,22,1
78,166666.6667,166666.6667,83333.33333,166666.6667,166666.6667,166666.6667,166666.6667,166666.6667,83333.33333,16666.66667,0.957994895,1350000,0.158249158,0.174074074,3,7,5,24,1
79,83333.33333,166666.6667,166666.6667,166666.6667,166666.6667,83333.33333,166666.6667,166666.6667,166666.6667,16666.66667,0.957994895,1350000,0.158249158,0.174074074,3,7,1,8,1
80,115384.6154,230769.2308,115384.6154,115384.6154,230769.2308,115384.6154,115384.6154,115384.6154,115384.6154,23076.92308,0.954188917,1292307.692,0.188311688,0.207142857,1,4,3,22,1
81,107142.8571,107142.8571,214285.7143,107142.8571,21428.57143,214285.7143,107142.8571,214285.7143,107142.8571,107142.8571,0.949770816,1307142.857,0.210134128,0.231147541,5,8,2,20,1
82,214285.7143,214285.7143,107142.8571,107142.8571,107142.8571,21428.57143,107142.8571,107142.8571,214285.7143,107142.8571,0.949770816,1307142.857,0.210134128,0.231147541,3,5,5,12,1
83,166666.6667,166666.6667,166666.6667,166666.6667,833.3333333,166666.6667,166666.6667,166666.6667,83333.33333,166666.6667,0.948724306,1417500,0.133130244,0.146443269,2,8,8,14,1
84,20000,100000,200000,100000,100000,200000,100000,100000,200000,200000,0.948721964,1320000,0.214876033,0.236363636,3,10,4,9,1
85,20000,10000,20000,10000,10000,20000,20000,20000,10000,10000,0.975404595,150000,0.151515152,0.166666667,14,6,7,20,1
86,8333.333333,16666.66667,16666.66667,16666.66667,16666.66667,16666.66667,16666.66667,16666.66667,1666.666667,8333.333333,0.957994895,135000,0.158249158,0.174074074,9,12,3,20,1
87,17647.05882,17647.05882,17647.05882,17647.05882,8823.529412,1764.705882,8823.529412,17647.05882,17647.05882,8823.529412,0.953385302,134117.6471,0.186602871,0.205263158,7,12,9,37,1
88,18750,18750,18750,1875,18750,18750,9375,9375,9375,9375,0.950140038,133125,0.206145967,0.226760563,5,13,11,24,1
89,1875,18750,9375,18750,9375,9375,18750,18750,9375,18750,0.950140038,133125,0.206145967,0.226760563,2,12,5,18,1
90,10000,10000,20000,20000,10000,20000,2000,20000,10000,10000,0.948721964,132000,0.214876033,0.236363636,6,7,5,22,1
91,12500,12500,12500,12500,1250,12500,12500,2500,25000,12500,0.929529616,116250,0.221896383,0.244086022,4,21,2,23,1
92,12500,12500,12500,2500,12500,12500,12500,1250,25000,12500,0.929529616,116250,0.221896383,0.244086022,5,19,13,30,1
93,10714.28571,21428.57143,10714.28571,10714.28571,2142.857143,10714.28571,10714.28571,21428.57143,10714.28571,2142.857143,0.928136033,111428.5714,0.251748252,0.276923077,14,8,10,12,1
94,10714.28571,2142.857143,2142.857143,10714.28571,10714.28571,10714.28571,21428.57143,10714.28571,21428.57143,10714.28571,0.928136033,111428.5714,0.251748252,0.276923077,8,6,0,3,1
95,10714.28571,10714.28571,2142.857143,2142.857143,21428.57143,10714.28571,21428.57143,10714.28571,10714.28571,10714.28571,0.928136033,111428.5714,0.251748252,0.276923077,2,1,5,2,1
96,8333.333333,8333.333333,16666.66667,16666.66667,1666.666667,16666.66667,16666.66667,16666.66667,1666.666667,16666.66667,0.926919996,120000,0.232323232,0.255555556,1,2,1,3,1
97,1764.705882,8823.529412,17647.05882,8823.529412,17647.05882,17647.05882,8823.529412,17647.05882,17647.05882,1764.705882,0.923320324,118235.2941,0.256445047,0.282089552,0,0,10,16,1
98,1764.705882,17647.05882,1764.705882,17647.05882,8823.529412,17647.05882,17647.05882,8823.529412,17647.05882,8823.529412,0.923320324,118235.2941,0.256445047,0.282089552,16,16,17,14,1
99,9375,9375,1875,18750,18750,9375,1875,18750,9375,18750,0.921756204,116250,0.269794721,0.296774194,19,16,16,15,1
100,9375,1875,18750,9375,1875,9375,9375,18750,18750,18750,0.921756204,116250,0.269794721,0.296774194,10,13,21,14,1
101,937.5,1875,9375,1875,187500,1875,93750,187500,1875,93750,0.638507712,580312.5,0.582904979,0.641195477,18,12,32,15,1
102,9375,18750,18750,18750,1875000,937.5,18750,1875,93750,9375,0.198781882,2065312.5,0.774027153,0.851429868,20,16,19,12,1
103,1071.428571,214285.7143,2142.857143,214285.7143,1071.428571,10714.28571,1071.428571,1071.428571,107142.8571,214285.7143,0.63253864,767142.8571,0.56932453,0.626256983,12,3,9,11,1
104,18750,18750,937500,93750,1875,937500,1875,187500,93750,18750,0.575296581,2310000,0.634149941,0.697564935,2,14,17,13,1
105,10714.28571,21428.57143,107142.8571,10714.28571,10714.28571,214285.7143,2142.857143,214285.7143,1071.428571,1071428.571,0.50151617,1663928.571,0.679447404,0.747392144,15,11,19,20,1
106,10000,2000,1000,10000,20000,20000,10000,100000,2000000,20000,0.189773766,2193000,0.777971231,0.855768354,17,8,13,18,1
107,9375,1875,93750,18750,18750,1875,9375,937500,1875,1875,0.263975857,1095000,0.76369863,0.840068493,6,9,11,7,1
108,200000,200000,1000,1000000,200000,200000,1000,100000,200000,10000,0.715304711,2112000,0.500774793,0.550852273,16,9,11,20,1
109,23076.92308,2307692.308,1153.846154,11538.46154,1153.846154,115384.6154,115384.6154,1153.846154,11538.46154,230769.2308,0.314535587,2818846.154,0.750158151,0.825173966,10,10,6,6,1
110,93750,187500,9375,1875,93750,1875,937500,187500,187500,18750,0.63644038,1719375,0.58778626,0.646564885,19,12,8,5,1
111,2000,1000000,10000,100000,100000,2000,20000,2000,1000,20000,0.343688993,1257000,0.739929124,0.813922037,15,8,8,5,1
112,200000,2000,200000,2000,1000,20000,1000000,10000,10000,10000,0.429092053,1455000,0.712089972,0.783298969,18,1,11,13,1
113,16666.66667,8333.333333,166666.6667,1666.666667,1666.666667,833.3333333,16666.66667,1666666.667,166666.6667,1666.666667,0.302770086,2047500,0.755947756,0.831542532,21,8,17,16,1
114,21428.57143,21428.57143,107142.8571,1071.428571,10714.28571,2142.857143,1071.428571,21428.57143,10714.28571,107142.8571,0.697459679,304285.7143,0.54865557,0.603521127,12,9,7,7,1
115,1875,937.5,187500,187500,1875,937.5,187500,18750,937.5,9375,0.578326689,597187.5,0.605251891,0.66577708,14,8,4,7,1
116,1764.705882,8823.529412,882352.9412,1764.705882,176470.5882,176470.5882,176470.5882,17647.05882,88235.29412,176470.5882,0.660784951,1706470.588,0.562094576,0.618304033,12,10,2,9,1
