code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name
398767.5,Geobacter lovleyi SZ,Geobacter,lovleyi,Geobacter lovleyi,pasture;harbor;rhizosphere;soil,4,398767.5.txt
216600.3,Streptococcus pneumoniae 23F,Streptococcus,pneumoniae,Streptococcus pneumoniae,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,216600.3.txt
520999.6,Providencia alcalifaciens DSM 30120,Providencia,alcalifaciens,Providencia alcalifaciens,river;sludge;soil;waste,4,520999.6.txt
596322.3,Streptococcus salivarius SK126,Streptococcus,salivarius,Streptococcus salivarius,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,596322.3.txt
864570.3,Streptococcus sp. oral taxon 071 str. 73H25AP,Streptococcus,sp.,Streptococcus sp.,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16,864570.3.txt
525243.3,Acinetobacter sp. 6013150,Acinetobacter,sp.,Acinetobacter sp.,soil;mucus;lake;sediment;surface;gut;river;sludge;rhizosphere;field;sea;waste;volcano;ocean;water;wetland;air;biofilm;mine;mouth;aquifer;milk;beer;sewage;elevation;harbor;stream;blood,28,525243.3.txt
596153.3,Alicycliphilus denitrificans BC,Alicycliphilus,denitrificans,Alicycliphilus denitrificans,sludge,1,596153.3.txt
262698.4,Brucella abortus bv. 1 str. 9-941,Brucella,abortus,Brucella abortus,sludge;soil,2,262698.4.txt
262698.3,Brucella abortus biovar 1 str. 9-941,Brucella,abortus,Brucella abortus,sludge;soil,2,262698.3.txt
216592.3,Escherichia coli 042,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,216592.3.txt
216592.1,Escherichia coli 042,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13,216592.1.txt
596317.3,Staphylococcus epidermidis SK135,Staphylococcus,epidermidis,Staphylococcus epidermidis,sewage;air;biofilm;soil;marsh;sea;egg;gut;ocean;bacon;beef;dust;rhizosphere;water;volcano;elevation;wetland;farm;sugar;compost;waste;surface;sludge;textile;sediment;river;cabbage;stream;hospital;landfill;milk;feces;mine;lake;sausage,35,596317.3.txt
255470.8,Dehalococcoides sp. CBDB1,Dehalococcoides,sp.,Dehalococcoides sp.,biofilm;sediment;aquifer;sludge;wetland,5,255470.8.txt
476211.11,Borrelia burgdorferi 72a,Borrelia,burgdorferi,Borrelia burgdorferi,blood,1,476211.11.txt
99287.1,Salmonella typhimurium LT2,Salmonella,typhimurium,Salmonella typhimurium,rhizosphere,1,99287.1.txt
553175.3,Porphyromonas endodontalis ATCC 35406,Porphyromonas,endodontalis,Porphyromonas endodontalis,mouth;biofilm,2,553175.3.txt
71421.8,Haemophilus influenzae Rd KW20,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,71421.8.txt
71421.1,Haemophilus influenzae Rd KW20,Haemophilus,influenzae,Haemophilus influenzae,mouth;air,2,71421.1.txt
575606.3,Lactobacillus jensenii 27-2-CHN,Lactobacillus,jensenii,Lactobacillus jensenii,waste;mouth;wine;feces;gut;silage;yogurt;food;pickle;beer;cheese;biofilm;straw;milk;meat;poultry;sea;cabbage;soil;faeces;chyme;pond;flour;sludge;ocean,25,575606.3.txt
749525.3,Enterococcus faecium TX0133C,Enterococcus,faecium,Enterococcus faecium,cheese;gut;feces;water;sausage;meat;milk;yogurt;blood;biofilm;sea;air;river;sludge;fruit;soil;marsh;chicken;bacon;sediment;silage,21,749525.3.txt
216389.5,Dehalococcoides sp. BAV1,Dehalococcoides,sp.,Dehalococcoides sp.,biofilm;sediment;aquifer;sludge;wetland,5,216389.5.txt
317655.17,Sphingopyxis alaskensis RB2256,Sphingopyxis,alaskensis,Sphingopyxis alaskensis,field;soil;sludge;biofilm;plateau;rhizosphere;lake;grassland;elevation,9,317655.17.txt
596309.3,Rhodococcus erythropolis SK121,Rhodococcus,erythropolis,Rhodococcus erythropolis,soil;sludge;compost;field;air;sea;wetland;mountain;forest;gut;river;sediment;permafrost;beer;mucus;mine;rhizosphere;aquifer;biofilter;rock;ocean,21,596309.3.txt
89187.6,Roseovarius nubinhibens ISM,Roseovarius,nubinhibens,Roseovarius nubinhibens,ocean;sea;sediment;oyster;mud,5,89187.6.txt
504728.4,Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.4.txt
504728.5,Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.5.txt
504728.6,Meiothermus ruber DSM 1279,Meiothermus,ruber,Meiothermus ruber,biofilm;soil;waste;spring;mucus,5,504728.6.txt
